condition,display,task,test_f1,ext_f1,delta,pct_change
B0,B0 (vanilla),Qasper,25.850230414746544,18.338067109979246,-7.512163304767299,-29.06033402503795
B0,B0 (vanilla),2WikiMQA,26.515151515151516,17.858746192079526,-8.65640532307199,-32.64701436130007
B0,B0 (vanilla),Qasper-E,6.06060606060606,13.111654777634385,7.051048717028325,116.3423038309674
B0,B0 (vanilla),HotpotQA-E,44.56349206349207,45.87734845799361,1.313856394501542,2.94827970983427
B0,B0 (vanilla),2WikiMQA-E,17.460317460317462,23.267215480330236,5.806898020012774,33.25768866007316
B0,B0 (vanilla),Mean,24.089959502862733,23.690606403603404,-0.39935309925932927,-1.657757453730348
B1/cs1024,B1/1K (rand NAMM),Qasper,22.294372294372295,15.357041988684978,-6.937330305687317,-31.116957293471266
B1/cs1024,B1/1K (rand NAMM),2WikiMQA,10.416666666666666,5.349216566536829,-5.067450100129837,-48.647520961246435
B1/cs1024,B1/1K (rand NAMM),Qasper-E,7.264957264957265,4.803954625933727,-2.4610026390235378,-33.8749775018534
B1/cs1024,B1/1K (rand NAMM),HotpotQA-E,17.647058823529413,14.242793891750246,-3.404264931779167,-19.290834613415278
B1/cs1024,B1/1K (rand NAMM),2WikiMQA-E,6.547619047619047,4.272703616965912,-2.2749154306531345,-34.744162940884245
B1/cs1024,B1/1K (rand NAMM),Mean,12.834134819428936,8.80514213797434,-4.028992681454596,-31.392787578912696
B1/cs2048,B1/2K (rand NAMM),Qasper,23.319327731092436,16.844495419675205,-6.474832311417231,-27.7659475696811
B1/cs2048,B1/2K (rand NAMM),2WikiMQA,7.626262626262626,4.403649787636716,-3.22261283862591,-42.25677761906822
B1/cs2048,B1/2K (rand NAMM),Qasper-E,6.140350877192983,7.661777219640126,1.5214263424471435,24.777514719853478
B1/cs2048,B1/2K (rand NAMM),HotpotQA-E,25.925925925925927,21.46594982078853,-4.459976105137397,-17.20276497695853
B1/cs2048,B1/2K (rand NAMM),2WikiMQA-E,8.928571428571429,8.32286987009618,-0.6057015584752481,-6.783857454922779
B1/cs2048,B1/2K (rand NAMM),Mean,14.38808771780908,11.739748423567352,-2.648339294241728,-18.40647170202962
M1,M1 (NAMM-only),Qasper,45.033787259610435,35.922369794922915,-9.11141746468752,-20.23240331123405
M1,M1 (NAMM-only),2WikiMQA,10.0,23.589065255731924,13.589065255731924,135.89065255731924
M1,M1 (NAMM-only),Qasper-E,35.62382168704008,27.81248706287814,-7.811334624161937,-21.927278585620407
M1,M1 (NAMM-only),HotpotQA-E,30.507246376811594,47.83076203833567,17.323515661524077,56.78492069573213
M1,M1 (NAMM-only),2WikiMQA-E,30.158730158730158,31.925578974759304,1.766848816029146,5.858498705780852
M1,M1 (NAMM-only),Mean,30.264717096438453,33.41605262532559,3.151335528887138,10.412572233354815
M2/cs1024,M2/1K (rand LoRA+NAMM),Qasper,28.30457786979526,19.48966750128259,-8.81491036851267,-31.143055406310616
M2/cs1024,M2/1K (rand LoRA+NAMM),2WikiMQA,27.564102564102566,23.744293393416196,-3.8198091706863693,-13.857912340164502
M2/cs1024,M2/1K (rand LoRA+NAMM),Qasper-E,8.094417784340266,12.132686613127722,4.038268828787457,49.8895527310195
M2/cs1024,M2/1K (rand LoRA+NAMM),HotpotQA-E,17.5,26.356492969396196,8.856492969396196,50.60853125369255
M2/cs1024,M2/1K (rand LoRA+NAMM),2WikiMQA-E,24.155844155844157,22.045573091860458,-2.1102710639836992,-8.736068383158324
M2/cs1024,M2/1K (rand LoRA+NAMM),Mean,21.12378847481645,20.75374271381663,-0.3700457609998189,-1.751796376113988
M2/cs2048,M2/2K (rand LoRA+NAMM),Qasper,26.78941141674061,20.195008384996733,-6.594403031743877,-24.61570703872597
