step,loss,grad_norm,lr
1,4.006150491535664,5.062948703765869,5e-05
2,3.3591271340847015,4.501194953918457,4.976714865090827e-05
3,2.99482858274132,3.8131799697875977,4.907293218369499e-05
4,3.626876723021269,8.708477973937988,4.793028253763633e-05
5,3.2876448398455977,3.555570602416992,4.6360485113662216e-05
6,2.8265908481553197,2.403602361679077,4.43927822676105e-05
7,3.691523036919534,3.2331855297088623,4.206382858046636e-05
8,3.58756077545695,3.29396390914917,3.941700805287168e-05
9,3.2074792673811316,3.6355841159820557,3.6501625943278805e-05
10,3.3811848340556026,3.7551965713500977,3.3371990304274656e-05
11,3.786927775479853,4.210710048675537,3.008640032631585e-05
12,4.144113145768642,4.163553237915039,2.6706060334116777e-05
13,3.8327711396850646,6.59578275680542,2.329393966588323e-05
14,3.4584781657904387,3.4332761764526367,1.991359967368416e-05
15,3.7011709378566593,3.4783732891082764,1.6628009695725346e-05
16,3.851101730018854,3.433161497116089,1.3498374056721197e-05
17,2.939309167675674,3.5817322731018066,1.0582991947128324e-05
18,2.9283713600598276,2.2478432655334473,7.936171419533653e-06
19,3.542446279898286,3.717510461807251,5.607217732389503e-06
20,2.9416893189772964,3.048595666885376,3.6395148863377858e-06
21,3.1548722204752266,3.4923393726348877,2.0697174623636794e-06
22,3.4473410742357373,3.566819906234741,9.270678163050217e-07
23,3.3942147959023714,6.227737903594971,2.3285134909173112e-07
24,3.5235555628314614,3.7971973419189453,0.0
