step,loss,grad_norm,lr
1,3.1351972818374634,2.201077461242676,5e-05
2,2.9551033675670624,4.409769058227539,4.976714865090827e-05
3,4.046723186969757,3.0608973503112793,4.907293218369499e-05
4,3.00430104136467,3.6436455249786377,4.793028253763633e-05
5,3.4865052103996277,4.302872657775879,4.6360485113662216e-05
6,4.321795344352722,5.668732643127441,4.43927822676105e-05
7,4.188094973564148,3.359027147293091,4.206382858046636e-05
8,3.07754248380661,2.6357414722442627,3.941700805287168e-05
9,2.9635618329048157,2.3377156257629395,3.6501625943278805e-05
10,3.6933511793613434,6.805339813232422,3.3371990304274656e-05
11,3.68619766831398,2.535343885421753,3.008640032631585e-05
12,3.257656693458557,2.877103567123413,2.6706060334116777e-05
13,3.1243258118629456,2.9639313220977783,2.329393966588323e-05
14,4.070128798484802,2.893692970275879,1.991359967368416e-05
15,4.00221461057663,3.025796890258789,1.6628009695725346e-05
16,4.010002553462982,5.763570785522461,1.3498374056721197e-05
17,3.0249285101890564,2.9584639072418213,1.0582991947128324e-05
18,4.532964289188385,4.02825403213501,7.936171419533653e-06
19,2.522219628095627,3.9752750396728516,5.607217732389503e-06
20,3.902275502681732,4.027921676635742,3.6395148863377858e-06
21,3.6100404858589172,2.8782331943511963,2.0697174623636794e-06
22,2.4875868558883667,2.2093212604522705,9.270678163050217e-07
23,3.7264705896377563,3.281346559524536,2.3285134909173112e-07
24,4.233664631843567,4.3381667137146,0.0
